GB;77,51;23;80,12;19;69,42;18;74,35;42;75,38;40;88,29;50;
MU;65,55;57;50,43;79;47,4;74;62,88;83;80,12;28;86,9;56;
FR;78,65;21;78,93;21;66,27;22;78,18;31;81,5;26;88,38;49;
BR;58,59;82;57,89;55;44,68;86;66,88;73;57,14;105;66,37;104;
UG;46;128;33,48;139;39,38;116;50;125;52,14;121;55;120;
TN;49,97;118;48,04;91;40,94;109;50,19;123;59,76;98;50,92;126;
BI;51,78;108;45,32;100;44,89;85;53,32;113;58,01;103;57,37;115;
LV;82,9;12;84,42;15;74,69;9;80,29;19;83,21;17;91,9;26;
SN;55,44;94;52,9;74;44,21;90;62,5;85;65,87;72;51,71;124;
CH;84,01;9;87,78;8;72,32;11;78,85;27;85,2;11;95,92;4;
MK;73,78;36;66,98;38;54,17;49;83,17;13;75,15;42;89,43;39;
RO;68,45;49;61,92;48;48,2;69;70,54;55;73,38;49;88,2;51;
CM;44,95;130;43,68;107;34,09;144;52,71;115;59,31;99;34,97;153;
SG;47,19;126;35,29;133;35,94;134;30,58;162;49,4;127;84,76;62;
KM;61,47;71;48,84;85;52,19;54;62,02;87;65,71;74;78,57;86;
KG;49,11;120;30,19;149;48,73;64;48,4;129;50,66;124;67,59;102;
KP;20,66;177;18,04;169;20,59;175;26,82;167;17,27;178;20,57;174;
ME;73,21;40;68,31;33;56,06;43;78,15;32;73,05;52;90,48;31;
TO;70,11;45;66,52;41;57,92;40;61,35;90;71,43;55;93,33;11;
FI;86,55;5;89,05;6;80,9;5;86,16;6;84,52;14;92,13;21;
HT;55,92;93;53,38;72;44,44;88;67,47;69;69,05;62;45,26;131;
ML;50,56;114;48,12;89;44,41;89;59,27;97;63,53;81;37,47;149;
HK;43,06;135;34,68;134;45,88;81;39,33;145;47,73;134;47,67;130;
CA;81,7;14;86,23;11;66,35;21;83,75;11;82,38;22;89,76;36;
JP;62,12;70;53,07;73;55,83;44;64,35;80;54,38;113;82,95;71;
CI;66,89;53;61,43;49;55,05;45;74,63;40;73,08;51;70,28;99;
SC;73,75;37;67,1;37;59,79;35;74,23;43;75;43;92,62;17;
AR;63,13;66;54,83;65;38,45;119;76,12;37;63,89;80;82,34;75;
BY;26,8;167;15,94;175;36,34;132;18,8;176;38,69;143;24,21;171;
LK;35,21;150;30,43;147;32,16;154;42,19;139;29,61;165;41,68;140;
MY;52,07;107;44,35;106;45,63;82;34,04;156;52,62;119;83,72;67;
ER;16,64;180;12,75;180;18,54;178;16,92;178;20,71;174;14,26;178;
